short_story,authorLabel,country_of_originLabel,genreLabel,title,Wordcount,Publication Date,image
http://www.wikidata.org/entity/Q762206,Edgar Allan Poe,United States of America,Gothic fiction,The Tell-Tale Heart,2093,1843,http://commons.wikimedia.org/wiki/Special:FilePath/Clarke-TellTaleHeart.jpeg
http://www.wikidata.org/entity/Q636960,H. P. Lovecraft,United States of America,horror literature,He,"4,262","1,925",http://commons.wikimedia.org/wiki/Special:FilePath/He%20%28short%20story%29.jpg
http://www.wikidata.org/entity/Q3210430,H. P. Lovecraft,United States of America,horror literature,The Shunned House,"10,742",1923,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Shunned%20House.jpg
http://www.wikidata.org/entity/Q1157371,H. P. Lovecraft,United States of America,horror literature,Dagon,"2,216",1917,http://commons.wikimedia.org/wiki/Special:FilePath/Dagon%20%28short%20story%29.jpg
http://www.wikidata.org/entity/Q465039,H. P. Lovecraft,United States of America,science fiction,The Thing on the Doorstep,"10,954",1933,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Thing%20on%20the%20Doorstep.jpg
http://www.wikidata.org/entity/Q7766907,H. P. Lovecraft,United States of America,speculative fiction,The Strange High House in the Mist,"3,765",1926,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Strange%20High%20House%20in%20the%20Mist.jpg
http://www.wikidata.org/entity/Q1141815,H. P. Lovecraft,United States of America,science fiction,The Call of Cthulhu,"11,905",1926,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Call%20of%20Cthulhu.jpg
http://www.wikidata.org/entity/Q7726658,M. R. James,United Kingdom,horror literature,The Collected Ghost Stories of M. R. James,"27,073",1931,http://commons.wikimedia.org/wiki/Special:FilePath/Collected%20Ghost%20Stories%20-%20MR%20James.jpg
http://www.wikidata.org/entity/Q7733695,H. P. Lovecraft,United States of America,Lovecraftian horror,The Festival,"3,659",1923,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Festival%20%28short%20story%29.jpg
http://www.wikidata.org/entity/Q1210939,W. W. Jacobs,United Kingdom,horror literature,The Monkey's Paw,"4,830",1902,http://commons.wikimedia.org/wiki/Special:FilePath/The%20lady%20of%20the%20barge%20-%20Frontispiece.png
